"","sex","yob","g2000","g2002","g2004","p2000","p2002","p2004","treatment","cluster","voted","hh_id","hh_size","numberofnames","p2004_mean","g2004_mean","age","bintreat"
"124262","male",1965,"yes","yes","yes","yes","no","No"," Control",3581,"Yes",64453,2,21,0.1904762,0.9047619,41,0
"19788","male",1955,"yes","yes","yes","yes","yes","No"," Control",580,"No",10439,2,21,0.1428571,1,51,0
"92679","female",1980,"yes","no","yes","no","yes","No"," Control",2670,"No",48056,4,21,0.2380952,0.8571429,26,0
"258419","female",1949,"yes","yes","yes","no","no","No"," Control",7520,"No",135357,2,21,0.6666667,1,57,0
"118408","female",1960,"yes","no","yes","no","no","No"," Control",3411,"No",61389,2,21,0.3333333,0.9047619,46,0
"264080","female",1976,"yes","no","yes","no","no","No"," Neighbors",7683,"No",138278,2,21,0.1904762,0.952381,30,1
"75570","female",1951,"yes","yes","yes","no","no","No"," Neighbors",2179,"No",39212,2,21,0.047619,0.8571429,55,1
"168624","male",1942,"yes","yes","yes","no","no","Yes"," Control",4889,"No",87989,2,21,0.2380952,0.952381,64,0
"135516","female",1965,"yes","no","yes","no","no","No"," Neighbors",3911,"Yes",70388,2,21,0.3333333,0.8571429,41,1
"288430","female",1948,"yes","yes","yes","no","no","No"," Control",8357,"No",150411,3,21,0.047619,0.9047619,58,0
"260631","male",1953,"no","yes","yes","no","no","Yes"," Control",7582,"Yes",136468,2,21,0.3809524,1,53,0
"26195","female",1960,"yes","yes","yes","no","no","No"," Control",767,"No",13802,2,21,0.1904762,0.8571429,46,0
"1309","female",1932,"no","no","yes","no","no","Yes"," Control",39,"No",694,2,21,0.6190476,1,74,0
"85302","female",1983,"no","no","yes","no","no","No"," Control",2455,"No",44185,2,21,0.2380952,0.952381,23,0
"145510","female",1974,"yes","no","yes","no","no","No"," Control",4207,"No",75719,2,21,0.2380952,0.952381,32,0
"146643","male",1974,"yes","yes","yes","no","yes","Yes"," Control",4240,"Yes",76315,2,21,0.5238096,0.952381,32,0
"77946","male",1949,"yes","yes","yes","yes","yes","No"," Control",2246,"No",40425,4,21,0.2380952,1,57,0
"267695","female",1980,"no","yes","yes","no","no","No"," Control",7787,"No",140154,3,21,0.1904762,0.8095238,26,0
"178870","male",1927,"yes","yes","yes","no","yes","No"," Control",5188,"No",93381,2,21,0.2857143,0.8571429,79,0
"175086","female",1960,"yes","yes","yes","no","no","No"," Control",5078,"No",91396,2,21,0.047619,0.7619048,46,0
"297202","male",1940,"yes","yes","yes","no","yes","No"," Neighbors",8612,"No",155002,1,21,0.2380952,1,66,1
