"","id","listing_url","name","host_id","host_name","host_since","host_response_rate","host_is_superhost","host_acceptance_rate","host_listings_count","host_verifications","host_has_profile_pic","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bathrooms","bedrooms","beds","price","has_availability","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","reviews_per_month"
"1",5456,"https://www.airbnb.com/rooms/5456","Walk to 6th, Rainey St and Convention Ctr",8028,"Sylvia","2009-02-16","100%","t","100%",1,"['email', 'phone']","t",78702,30.26057,-97.73441,"Entire guesthouse","Entire home/apt",1,1,2,108,"t",4.85,4.88,4.86,4.9,4.83,4.73,4.79,3.68
"2",5769,"https://www.airbnb.com/rooms/5769","NW Austin Room",8186,"Elizabeth","2009-02-19","100%","t","86%",1,"['email', 'phone', 'work_email']","t",78729,30.45697,-97.78422,"Private room in home","Private room",1,1,1,48,"t",4.9,4.91,4.87,4.91,4.94,4.77,4.92,1.73
"4",6448,"https://www.airbnb.com/rooms/6448","Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,"Amy","2009-04-20","100%","t","100%",1,"['email', 'phone']","t",78704,30.26034,-97.76487,"Entire guesthouse","Entire home/apt",1,1,2,159,"t",4.97,4.97,4.96,4.99,4.97,4.97,4.88,2.07
"5",8502,"https://www.airbnb.com/rooms/8502","Woodland Studio Lodging",25298,"Karen","2009-07-11","100%","f","38%",1,"['email', 'phone']","t",78741,30.23466,-97.73682,"Entire guest suite","Entire home/apt",1,1,1,48,"t",4.56,4.54,4.67,4.85,4.88,4.68,4.62,0.3
"6",13035,"https://www.airbnb.com/rooms/13035","Historic house in highly walkable East Austin",50793,"Molly","2009-11-02","100%","t","91%",2,"['email', 'phone']","t",78702,30.26098,-97.73072,"Entire home","Entire home/apt",2,2,2,115,"t",5,4.94,4.94,5,5,5,4.94,0.11
"7",252804,"https://www.airbnb.com/rooms/252804","» 2 bed, sleeps 4, 2 miles to DT",1327500,"Brooks","2011-10-23","100%","f","100%",1,"['email', 'phone']","t",78704,30.23254,-97.75479,"Entire home","Entire home/apt",1.5,2,3,130,"t",4.67,4.79,4.49,4.77,4.8,4.74,4.6,0.59
"8",22828,"https://www.airbnb.com/rooms/22828","Garage Apartment central SE Austin",56488,"David","2009-11-22","100%","f","75%",1,"['email', 'phone']","t",78741,30.23614,-97.73225,"Entire guesthouse","Entire home/apt",1,1,1,58,"t",4.94,5,4.98,5,5,4.78,4.87,0.3
"9",254232,"https://www.airbnb.com/rooms/254232","Exceptional Luxury Home Central Austin",1335409,"Eric","2011-10-25","83%","t","63%",2,"['email', 'phone']","t",78703,30.2786540985107,-97.7555084228516,"Entire home","Entire home/apt",2,2,2,575,"t",5,5,5,4.8,4.9,5,4.8,0.07
"10",271052,"https://www.airbnb.com/rooms/271052","Clean & Comfy South Austin Condo!",1418696,"Kelsey","2011-11-17","100%","t","91%",1,"['email', 'phone']","t",78704,30.25367,-97.77253,"Entire condo","Entire home/apt",2,2,2,150,"t",4.89,4.95,4.89,4.95,4.95,4.89,4.69,0.42
"11",461404,"https://www.airbnb.com/rooms/461404","Cute & Cozy Central Austin House",1021729,"Nita","2011-08-25","100%","f","77%",1,"['email', 'phone']","t",78756,30.3239,-97.731,"Entire bungalow","Entire home/apt",1,2,3,107,"t",4.77,4.9,4.7,4.99,4.99,4.88,4.81,0.7
"12",463790,"https://www.airbnb.com/rooms/463790","Classy Private Executive Home",1487463,"Al","2011-12-09","N/A","f","N/A",1,"['email', 'phone']","t",78736,30.23945,-97.90395,"Entire home","Entire home/apt",3,3,3,250,"t",NA,NA,NA,NA,NA,NA,NA,NA
"13",40285,"https://www.airbnb.com/rooms/40285","OUTDOOR LIVING IN AUSTIN, TX",170787,"Robbie","2010-07-18","100%","f","100%",1,"['email', 'phone']","t",78731,30.35123,-97.76207,"Entire home","Entire home/apt",2,2,2,450,"t",4.93,4.95,4.95,4.97,4.93,4.92,4.79,0.25
"14",474901,"https://www.airbnb.com/rooms/474901","Minutes to Zilker Park and Barton Springs!",2354063,"Marit","2012-05-12","100%","f","0%",1,"['email', 'phone']","t",78704,30.25174,-97.78213,"Entire home","Entire home/apt",3,3,4,599,"t",5,5,5,5,5,5,5,0.04
"15",277028,"https://www.airbnb.com/rooms/277028","One of a kind stay In the Heart of ATX",746455,"Michael","2011-06-26","100%","t","64%",5,"['email', 'phone']","t",78703,30.28332,-97.76272,"Entire home","Entire home/apt",2,5,13,209,"t",4.69,4.63,4.55,4.9,4.89,4.76,4.63,0.81
"16",281182,"https://www.airbnb.com/rooms/281182","House in East Austin-great location&near rail",1465788,"Michelle","2011-12-02","100%","f","80%",1,"['email', 'phone']","t",78702,30.28032,-97.70708,"Entire home","Entire home/apt",2.5,3,3,300,"t",4.91,4.95,4.89,4.98,4.95,4.77,4.82,0.38
"18",47572,"https://www.airbnb.com/rooms/47572","Cozy Private Room in North Austin for Longer Stays",215917,"Belinda","2010-08-28","100%","t","100%",1,"['email', 'phone', 'work_email']","t",78758,30.37783,-97.70749,"Private room in home","Private room",1,1,1,48,"t",5,5,5,5,5,5,5,0.14
