"attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","height_m","hp","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary"
50,5120,70,320,"190","Lonely Pokémon",95,0.4,50,"Cubone",50,104,40,50,35,"ground","",6.5,1,0
120,6400,70,455,"45","Kicking Pokémon",53,1.5,50,"Hitmonlee",100,106,35,110,87,"fighting","",49.8,1,0
53,30720,0,570,"45","Parasite Pokémon",47,1.2,109,"Nihilego",NA,793,127,131,103,"rock","poison",55.5,7,1
60,5120,70,305,"255","Numb Pokémon",40,0.7,60,"Numel",50,322,65,45,35,"fire","ground",24,3,0
103,30720,100,600,"45","Gratitude Pokémon",75,0.2,100,"Shaymin",NA,492,120,75,127,"grass","grass",2.1,4,1
80,3840,70,455,"90","Bat Pokémon",70,1.6,75,"Golbat",50,42,65,75,90,"poison","flying",55,1,0
80,5120,70,290,"255","Bonsai Pokémon",95,0.5,50,"Bonsly",50,438,10,45,10,"rock","",15,4,0
137,30720,0,680,"45","Sunne Pokémon",107,3.4,137,"Solgaleo",NA,791,113,89,97,"psychic","steel",230,7,1
115,3840,70,488,"45","Proud Pokémon",80,1.2,80,"Unfezant",50,521,65,55,93,"normal","flying",29,5,0
38,5120,70,330,"190","Angler Pokémon",38,0.5,75,"Chinchou",50,170,56,56,67,"water","electric",12,2,0
63,5120,70,405,"45","Turtle Pokémon",80,1,59,"Wartortle",88.1,8,65,80,58,"water","",22.5,1,0
90,3840,70,236,"45","Shed Pokémon",45,0.8,1,"Shedinja",NA,292,30,30,40,"bug","ghost",1.2,3,0
55,3840,70,320,"45","Grass Quill Pokémon",55,0.3,68,"Rowlet",88.1,722,50,50,42,"grass","flying",1.5,7,0
62,5120,70,405,"45","Leaf Pokémon",80,1.2,60,"Bayleef",88.1,153,63,80,60,"grass","",15.8,2,0
80,7680,70,498,"60","Blimp Pokémon",44,1.2,150,"Drifblim",50,426,90,54,80,"ghost","flying",15,4,0
160,3840,70,670,"45","Lazy Pokémon",100,2,150,"Slaking",50,289,95,65,100,"normal","",130.5,3,0
70,5120,70,310,"45","Mud Fish Pokémon",50,0.4,50,"Mudkip",88.1,258,50,50,40,"water","",7.6,3,0
45,3840,70,250,"255","Plump Mouse Pokémon",40,0.5,59,"Bidoof",50,399,35,40,31,"normal","",20,4,0
80,5120,70,455,"60","Long Neck Pokémon",65,1.5,70,"Girafarig",50,203,90,65,85,"normal","psychic",41.5,2,0
60,5120,70,440,"90","Classy Cat Pokémon",60,NA,65,"Persian",50,53,75,65,115,"normal","dark",NA,1,0
30,5120,70,330,"225","Rendezvous Pokémon",55,0.6,43,"Luvdisc",24.6,370,40,65,97,"water","",8.7,3,0
85,6400,35,480,"45","Darkness Pokémon",125,0.5,50,"Sableye",50,302,85,115,20,"dark","ghost",11,3,0
75,10240,70,420,"45","Scaly Pokémon",90,1.2,55,"Hakamo-o",50,783,65,70,65,"dragon","fighting",47,7,0
55,5120,70,265,"255","Mole Pokémon",30,NA,10,"Diglett",50,50,35,45,90,"ground","ground",NA,1,0
85,3840,70,455,"45","Swallow Pokémon",60,0.7,60,"Swellow",50,277,75,50,125,"normal","flying",19.8,3,0
65,8960,70,525,"45","Sun Pokémon",60,0.9,65,"Espeon",88.1,196,130,95,110,"psychic","",26.5,2,0
