id,trust,threat,age,male,education,income
1,4,0,42,1,8,3
2,5,1,39,0,1,0
3,6,0,46,1,9,3
4,8,0,34,0,4,1
5,7,0,39,0,1,0
6,4,0,39,1,4,2
7,6,0,42,0,5,2
8,6,0,43,1,9,3
9,4,0,34,1,7,3
10,3,0,41,0,5,0
11,9,0,40,1,4,2
12,8,0,44,1,10,1
13,5,1,35,0,10,1
14,10,0,58,1,7,3
15,5,0,23,1,4,2
16,5,0,49,1,7,3
17,5,0,48,0,5,0
18,0,0,47,1,4,2
19,6,0,41,0,1,0
20,5,0,21,0,0,0
21,9,0,73,1,7,0
22,9,0,49,1,7,3
23,9,0,47,0,10,1
24,4,0,33,0,4,0
25,5,0,44,1,7,3
26,0,1,19,1,0,0
27,5,0,43,0,10,1
28,7,0,43,1,10,3
29,10,0,42,1,5,1
30,6,0,43,1,10,3
31,5,0,48,1,4,0
32,0,0,19,1,0,0
33,5,0,16,1,0,0
34,7,0,44,0,7,3
35,6,0,28,0,10,2
36,0,1,30,0,4,2
37,4,0,34,1,10,3
38,5,0,65,0,10,0
39,7,0,59,1,4,3
40,5,1,58,0,4,3
41,7,0,47,0,10,3
42,3,1,49,0,4,2
43,3,0,20,1,1,0
44,5,0,14,1,1,0
45,10,0,38,0,7,3
46,7,0,37,1,7,3
47,6,0,21,0,4,0
48,6,0,60,1,10,3
49,10,0,33,1,10,3
50,7,0,46,0,6,2
51,7,0,17,1,1,0
52,6,0,51,1,4,2
53,4,0,56,0,4,1
54,7,0,26,1,10,2
55,10,0,46,1,4,3
56,5,0,16,0,1,0
57,5,0,40,0,4,1
58,4,1,18,1,1,0
59,4,0,15,1,1,0
60,10,0,42,0,10,1
61,6,0,46,1,10,3
62,0,0,38,1,4,2
63,6,0,34,0,4,1
64,8,0,61,1,4,3
65,6,1,53,1,4,0
66,5,0,27,0,3,1
67,4,0,26,0,4,1
68,7,0,50,0,4,1
69,9,0,50,0,4,1
70,7,0,37,0,6,1
71,5,1,55,0,4,0
72,7,0,62,1,9,3
73,8,0,62,0,5,0
74,10,1,55,0,5,1
75,0,1,22,1,1,0
76,5,1,48,0,4,0
77,5,1,16,1,4,0
78,6,0,37,1,4,2
79,8,0,32,1,10,1
80,10,0,39,0,6,1
81,5,0,45,1,9,3
82,4,0,40,0,8,3
83,8,0,48,0,10,1
84,7,0,47,1,10,3
85,7,1,16,1,1,0
86,8,0,48,0,1,1
87,7,0,45,0,4,1
88,6,0,47,1,10,3
89,7,1,43,0,10,3
90,7,0,57,1,1,2
91,7,0,43,1,10,3
92,8,0,37,0,10,3
93,6,0,42,0,4,1
94,6,0,40,0,4,1
95,7,0,37,1,8,3
96,1,0,83,0,1,0
97,8,0,57,1,10,3
98,8,0,36,1,10,3
99,7,0,34,1,10,1
100,5,1,41,0,2,3
101,9,0,26,1,10,3
102,4,0,49,1,5,1
103,7,0,53,0,5,2
104,2,0,34,1,4,1
