"","female","hisp","education","earnings","hours","week","union","uncov","region","race","marital","college_degree","age","id"
"1",0,0,12,146000,45,52,0,0,1,1,1,0,52,1
"2",0,0,18,50000,45,52,0,0,1,1,1,1,38,2
"3",0,0,14,32000,40,51,0,0,1,1,1,0,38,3
"4",1,0,13,47000,40,52,0,0,1,1,1,0,41,4
"5",0,0,13,161525,50,52,1,0,1,1,1,0,42,5
"6",1,0,13,33000,40,52,0,0,1,1,5,0,66,6
"7",0,0,16,37000,44,52,0,0,1,1,1,1,51,7
"8",1,0,16,37000,44,52,0,0,1,1,1,1,49,8
"9",0,0,16,80000,40,52,0,0,1,1,1,1,33,9
"10",1,0,14,32000,40,52,0,0,1,1,1,0,52,10
"11",0,0,14,46000,40,52,0,0,1,1,5,0,55,11
"12",0,0,12,62000,40,52,0,0,1,1,5,0,51,12
"13",0,0,11,33000,45,52,0,0,1,1,1,0,52,13
"14",0,0,13,26040,40,52,0,0,1,1,1,0,44,14
"15",0,0,16,35000,60,52,1,0,1,1,1,1,59,15
"16",1,0,14,48000,36,52,1,0,1,1,1,0,35,16
"17",0,0,16,26000,40,52,0,0,1,1,1,1,31,17
"18",1,0,13,32000,40,52,0,0,1,1,1,0,66,18
"19",0,0,14,80000,40,52,0,0,1,1,1,0,44,19
"20",1,0,14,50000,40,52,0,0,1,1,1,0,41,20
"21",0,0,16,80000,45,52,0,0,1,1,1,1,46,21
"22",1,0,14,90000,45,52,0,0,1,1,1,0,45,22
"23",0,0,13,24000,45,52,0,0,1,1,7,0,24,23
"24",1,0,12,30000,40,52,0,0,1,1,7,0,59,24
"25",0,0,12,32000,40,52,0,0,1,1,1,0,57,25
"26",1,0,14,71000,40,52,0,0,1,1,1,0,33,26
"27",1,0,14,22500,40,52,0,0,1,1,1,0,41,27
"28",0,0,12,21000,40,52,0,0,1,1,1,0,44,28
"29",0,0,20,47000,40,52,0,0,1,1,1,1,39,29
"30",0,0,14,26000,40,52,0,0,1,1,1,0,52,30
"31",1,0,13,19240,37,52,0,0,1,1,1,0,34,31
"32",0,0,13,21840,40,52,0,0,1,1,1,0,37,32
"33",1,0,13,34843,45,52,0,0,1,1,1,0,37,33
"34",1,0,12,21000,36,52,0,0,1,1,2,0,42,34
"35",0,0,12,50000,40,52,0,0,1,1,1,0,43,35
"36",1,0,12,24176,40,52,0,0,1,7,5,0,64,36
"37",0,0,18,50475,45,52,0,0,1,1,1,1,51,37
