Obs,Name,Gender,Fixed,Color,Heritage,Age,Weight
1,Max,Male,Yes,Dark brown,"Designer/deliberate mix (e.g., labradoodles)",7,70
2,Isla,Female,Yes,Black,Single breed,8,13
3,Tyson,Male,No,Black,Mixed breed/unknown,0.33,
4,Lexi,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,24
5,,Male,Yes,Light brown,Mixed breed/unknown,6,45
6,Lola,Female,Yes,Black,Mixed breed/unknown,14,85
7,Lady,Female,Yes,Black,Single breed,11,22
8,Leo,Male,Yes,Reddish,Single breed,15,14
9,Jitterbug,Female,Yes,Light brown,Mixed breed/unknown,18,25
10,Coco,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",3,44
11,Jake,Male,No,White,Single breed,8,45
12,Jessie,Female,Yes,Dark brown,Single breed,15,50
13,Rikka,Female,No,Light brown,Single breed,14,30
14,Yo-yo,Female,Yes,Light brown,Mixed breed/unknown,7,75
15,Winston,Male,Yes,Black,Single breed,2,4.5
16,Petey,Male,Yes,Yellow/blond,Mixed breed/unknown,15,27
17,Doctor,Male,Yes,Light brown,Single breed,1.13,47
18,Brownie,Female,Yes,Black,Mixed breed/unknown,1.5,45
19,Cinnamon ,Female,Yes,Reddish,Single breed,12.5,25
20,Sparky,Male,Yes,Black,Single breed,12.5,19
21,Dexter,Male,Yes,Light brown,Single breed,12,25
22,Yitzi,Female,Yes,Reddish,Single breed,0.58,13
23,Maisie,Female,Yes,Reddish,Mixed breed/unknown,5,55
24,Mya,Female,Yes,Other,Single breed,15,22
25,Nala,Female,Yes,No primary color,Single breed,2.5,55
26,Oso,Male,Yes,Black,Mixed breed/unknown,12.5,65
27,Cesar,Male,Yes,Black,Mixed breed/unknown,4,11
28,Chunka,Female,Yes,Black,Single breed,7,33
29,Cody,Male,No,Reddish,Mixed breed/unknown,3,
30,Cody Enzo,Male,Yes,Dark brown,"Designer/deliberate mix (e.g., labradoodles)",4,55
31,Pepper,Female,Yes,Black,Single breed,2.25,26
32,Chipper,Male,Yes,Black,Single breed,11,26
33,Sammy,Female,Yes,Black,Single breed,10,30
34,Trixie,Female,Yes,Black,Single breed,12,33
35,Bo,Male,Yes,White,Mixed breed/unknown,11,19
36,von Weiner's Petite Red Velvet,Female,Yes,Reddish,Single breed,17,15
37,Oscar Meyer von Frankfurter,Male,Yes,Reddish,Single breed,6,15
38,Babs,Female,Yes,White,Mixed breed/unknown,5,62
39,Tala,Female,Yes,Black,Mixed breed/unknown,8,65
40,Sadie ,Female,Yes,Black,Mixed breed/unknown,8,70
41,Zoi,Female,Yes,Light brown,Mixed breed/unknown,11,20
42,Suzy,Female,Yes,Other,Mixed breed/unknown,7,80
43,Rossi,Male,Yes,White,Mixed breed/unknown,1,30
44,Wyatt ,Male,Yes,No primary color,Mixed breed/unknown,0.42,20
45,Noodle,Female,Yes,White,Single breed,8,25
46,Bean,Male,Yes,Black,Single breed,2,30
47,Grady,Male,Yes,Other,Mixed breed/unknown,12,72
48,Tess,Female,Yes,Reddish,Mixed breed/unknown,2,70
49,Piper,Female,Yes,Other,Mixed breed/unknown,3,1.5
50,Dixie,Female,Yes,Yellow/blond,Mixed breed/unknown,12,50
51,Sabot,Male,Yes,White,Mixed breed/unknown,7,75
52,Sansa,Female,Yes,Black,Single breed,4,68
53,Henry,Male,Yes,Dark brown,Mixed breed/unknown,7,24
54,Dudley,Male,Yes,Black,"Designer/deliberate mix (e.g., labradoodles)",12,85
55,Penny,Female,Yes,Reddish,"Designer/deliberate mix (e.g., labradoodles)",2,60
56,Cortana,Female,Yes,Reddish,Single breed,8,45
57,Bentley,Male,No,Yellow/blond,Single breed,2,30
58,Minnie,Female,No,Reddish,Single breed,2,
59,Luke Skywoofer,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",6,37.4
60,Hugo,Male,Yes,Dark brown,Single breed,3,70
61,Beckett,Female,Yes,Dark brown,Single breed,2,93
62,Cassius,Male,Yes,Black,Mixed breed/unknown,1.33,62
63,Diesel,Male,Yes,Black,Mixed breed/unknown,9,50
64,Sabrina ,Female,Yes,Reddish,Mixed breed/unknown,12,31
65,Linus,Male,Yes,White,Single breed,13,16
66,Ralph,Male,Yes,Black,Single breed,7,83
67,Aristotle,Male,Yes,Yellow/blond,Mixed breed/unknown,3,40
68,Millie,Female,Yes,Yellow/blond,Single breed,0.75,50
69,Ruby,Female,Yes,Yellow/blond,Mixed breed/unknown,3,50
70,Bernard,Male,Yes,Black,Mixed breed/unknown,7,38
71,Salju,Male,Yes,White,Mixed breed/unknown,1.16,48
72,Tyson,Male,Yes,No primary color,Single breed,1.08,50
73,Mobie,Male,Yes,Black,Mixed breed/unknown,8,5
74,Lola,Female,Yes,Yellow/blond,Mixed breed/unknown,3,13
75,Scout,Male,Yes,White,Mixed breed/unknown,2,35
76,Azul,Male,Yes,Black,Mixed breed/unknown,0.58,50
77,Banana ,Male,Yes,Black,Mixed breed/unknown,0.5,30
78,Plum,Female,Yes,Light brown,Mixed breed/unknown,0.46,12
79,Rampage Jackson,Male,Yes,Black,Single breed,14,24
80,Bingo,Male,Yes,Light brown,Single breed,3,20
81,Luna,Female,No,Yellow/blond,Single breed,5,51
82,Lambeaux ,Male,Yes,Light brown,Mixed breed/unknown,12,65
83,Daisy,Female,Yes,Black,Mixed breed/unknown,14,60
84,Nacho,Male,Yes,Black,Mixed breed/unknown,13,30
85,Polo,Male,Yes,Black,Mixed breed/unknown,6,66
86,Rosie,Female,Yes,Black,Single breed,4,65
87,Molly,Female,Yes,Black,Mixed breed/unknown,16,20
88,Rufus,Male,Yes,Yellow/blond,Single breed,5,95
89,Jacob,Male,Yes,Yellow/blond,Mixed breed/unknown,10,
90,Tate,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",9,50
91,Apple,Female,Yes,White,Single breed,3,15
92,Henry,Male,Yes,White,Single breed,6,16
93,Apollo,Male,Yes,Black,Mixed breed/unknown,6,165
94,Winston ,Male,Yes,Reddish,"Designer/deliberate mix (e.g., labradoodles)",6,145
95,Lun,Female,Yes,Yellow/blond,Single breed,5,24
96,Murray,Male,Yes,Light brown,Single breed,4,25
97,Daphne,Female,Yes,No primary color,"Designer/deliberate mix (e.g., labradoodles)",4,28
98,Jax,Male,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",3,19
99,Murphy,Male,Yes,Black,Mixed breed/unknown,5,50
100,Hank,Male,No,Other,Single breed,3,135
101,Addy,Female,Yes,Black,Mixed breed/unknown,14,20
102,Duke,Male,Yes,Black,Mixed breed/unknown,4,50
103,Frank,Male,Yes,No primary color,Mixed breed/unknown,11,38
104,Whistler,Female,Yes,Black,Mixed breed/unknown,11,25
105,Reyka,Female,Yes,Yellow/blond,Mixed breed/unknown,3,55
106,Shannon ,Female,Yes,Light brown,Single breed,2,50
107,Sterling ,Male,Yes,White,Single breed,6,32
108,Malory ,Female,Yes,Light brown,Single breed,2,45
109,Ivy ,Female,Yes,Black,Single breed,2,27
110,Layla,Female,Yes,White,Mixed breed/unknown,13,70
111,Jemma,Female,Yes,Dark brown,Single breed,12,85
112,Sadie,Female,Yes,Reddish,Single breed,16,18
113,Theodore ,Male,Yes,White,Single breed,8,144
114,Daisy,Female,Yes,Light brown,Single breed,7,145
115,Theo,Male,No,White,Mixed breed/unknown,0.83,
116,Lucy,Female,Yes,Light brown,Mixed breed/unknown,7,45
117,Pumpkin,Female,Yes,Reddish,Mixed breed/unknown,4,45
118,Neri,Female,Yes,White,Mixed breed/unknown,9,40
119,Winston,Male,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,35
120,Frankie,Male,No,Light brown,"Designer/deliberate mix (e.g., labradoodles)",0.5,22
121,Oliver,Male,Yes,Reddish,Mixed breed/unknown,13,15
122,Murphy,Male,Yes,White,Single breed,0.75,16
123,Lucy,Female,Yes,Light brown,Single breed,9,56
124,Mik,Male,Yes,Black,Single breed,10,56
125,Bash,Male,Yes,Light brown,Single breed,6,33
126,Kaycee,Female,Yes,Dark brown,Single breed,2,28
127,Chiqui,Female,Yes,Reddish,Mixed breed/unknown,12,8
128,Jack,Male,Yes,White,Mixed breed/unknown,12,25
129,Hope,Female,Yes,Dark brown,Mixed breed/unknown,18,30
130,Ellie,Female,Yes,Dark brown,Mixed breed/unknown,5.5,38
131,Sierra,Female,Yes,Other,Mixed breed/unknown,11.5,40
132,Franklin Benjamin,Male,Yes,Light brown,Mixed breed/unknown,6,30
133,Mr. Bentley Beans,Male,Yes,White,Mixed breed/unknown,10,20
134,Willow,Female,Yes,White,"Designer/deliberate mix (e.g., labradoodles)",3,36
135,Mad Dog,Male,No,Black,Single breed,4,15
136,Mongo,Male,Yes,Black,Mixed breed/unknown,8,117
137,Cyrax,Male,No,Dark brown,Single breed,2,90
138,Duke,Male,Yes,White,Single breed,6,5
139,Waffles ,Female,Yes,Yellow/blond,Mixed breed/unknown,2,75
140,Merle,Male,Yes,Light brown,Mixed breed/unknown,1,35
141,Nena,Female,Yes,Other,Mixed breed/unknown,2.5,40
142,Harley,Female,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",12,150
143,Maggie,Female,Yes,Black,Mixed breed/unknown,5,60
144,Chloe,Female,Yes,White,Single breed,11.5,35
145,Bear,Female,Yes,Other,Single breed,17,14
146,Rosco ,Male,Yes,No primary color,Single breed,15,14
147,Calix ,Male,Yes,Black,Single breed,14.75,65
148,Leukos,Male,Yes,White,Single breed,10.5,50
149,Demetri,Male,Yes,Black,Mixed breed/unknown,9.5,95
150,Callie,Female,Yes,Other,Single breed,7.5,47
151,Legend ,Male,Yes,Dark brown,Mixed breed/unknown,4,85
152,Bo,Male,Yes,Yellow/blond,Single breed,13,70
153,Charlie,Female,Yes,Yellow/blond,Mixed breed/unknown,4.5,60
154,Milo ,Male,Yes,No primary color,Single breed,4,45
155,Bexar,Male,Yes,Reddish,Single breed,5,60
156,Charlie ,Male,Yes,No primary color,Single breed,6,30
157,Sonny ,Male,Yes,Light brown,"Designer/deliberate mix (e.g., labradoodles)",1,4
158,George,Male,Yes,Reddish,Single breed,2,60
159,Maisy,Female,Yes,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",2,70
160,Jaxson,Male,Yes,Reddish,Single breed,11,65
161,Paxton,Male,No,Yellow/blond,"Designer/deliberate mix (e.g., labradoodles)",12,5.6
162,Galen,Female,Yes,Black,Single breed,9.5,120
163,Cody,Female,Yes,Reddish,Mixed breed/unknown,14.5,50
164,Ollie,Male,Yes,Black,Mixed breed/unknown,1,40
165,Ruby,Female,Yes,Yellow/blond,Mixed breed/unknown,2.5,50
166,Mufasa,Male,Yes,Black,Mixed breed/unknown,8,83
167,Stella,Female,Yes,Dark brown,Mixed breed/unknown,0.25,15
168,Mojo,Male,Yes,Black,Mixed breed/unknown,13,35
169,Maya,Female,Yes,Yellow/blond,Mixed breed/unknown,12,45
170,Shayna,Female,Yes,Black,Single breed,11,65
171,Eli,Male,Yes,Reddish,Single breed,10,60
172,Fenway,Male,Yes,Light brown,Mixed breed/unknown,14.5,
173,Marvel,Male,Yes,Black,Single breed,8.5,42
174,Izzy,Female,Yes,White,Mixed breed/unknown,12,55
175,Kiara,Female,No,Black,Mixed breed/unknown,13,53
176,Maya,Female,No,Black,Mixed breed/unknown,7,50
177,Rudy,Male,Yes,White,Single breed,12,11
178,Beemo,Male,No,White,Single breed,1,
179,Diamond,Female,Yes,Other,Single breed,14,55
180,Legion,Male,No,Black,Single breed,11,60
181,Lucy,Female,Yes,Other,Mixed breed/unknown,5,60
182,Copper,Female,Yes,Light brown,Mixed breed/unknown,3,40
183,Honey,Female,Yes,Dark brown,Mixed breed/unknown,8,40
184,Luci,Female,Yes,Black,Mixed breed/unknown,6,48
