"","Player","POS","Team","Age","GP","W","L","Min","PTS"
"1","Jayson Tatum","SF","BOS",25,74,52,22,2732.2,2225
"2","Joel Embiid","C","PHI",29,66,43,23,2284.1,2183
"3","Luka Doncic","PG","DAL",24,66,33,33,2390.5,2138
"4","Shai Gilgeous-Alexander","PG","OKC",24,68,33,35,2416,2135
"5","Giannis Antetokounmpo","PF","MIL",28,63,47,16,2023.6,1959
"6","Anthony Edwards","SG","MIN",21,79,40,39,2841.5,1946
"7","Julius Randle","PF","NYK",28,77,44,33,2737.3,1936
"8","Donovan Mitchell","SG","CLE",26,68,44,24,2432.4,1922
"9","Trae Young","PG","ATL",24,73,38,35,2540.7,1914
"10","Zach LaVine","SG","CHI",28,77,38,39,2767.9,1913
"11","Damian Lillard","PG","POR",32,58,27,31,2106.6,1866
"12","De'Aaron Fox","PG","SAC",25,73,44,29,2435.2,1826
"13","DeMar DeRozan","SF","CHI",33,74,37,37,2681.6,1816
"14","Jaylen Brown","SG","BOS",26,67,46,21,2404.9,1784
"15","Pascal Siakam","PF","TOR",29,71,35,36,2652,1720
"16","Lauri Markkanen","PF","UTA",25,66,32,34,2272.5,1691
"17","Nikola Jokic","C","DEN",28,69,48,21,2323,1690
"18","Jalen Green","SG","HOU",21,76,20,56,2602.2,1683
"19","Jordan Poole","SG","GSW",23,82,44,38,2458.1,1675
"20","Mikal Bridges","SF","BKN",26,83,42,41,2963.2,1671
"21","Stephen Curry","PG","GSW",35,56,30,26,1941.2,1648
"22","Jalen Brunson","PG","NYK",26,68,40,28,2378.7,1633
"23","Kyrie Irving","PG","DAL",31,60,32,28,2240.6,1623
"24","Ja Morant","PG","MEM",23,61,40,21,1948.3,1596
"25","LeBron James","SF","LAL",38,55,30,25,1953.9,1590
"26","CJ McCollum","SG","NOP",31,75,38,37,2649.2,1568
"27","Bam Adebayo","C","MIA",25,75,40,35,2598,1529
"28","Dejounte Murray","SG","ATL",26,74,38,36,2693.4,1515
"29","Domantas Sabonis","PF","SAC",26,79,47,32,2735.6,1510
"30","Klay Thompson","SG","GSW",33,69,38,31,2278.9,1509
"31","Kristaps Porzingis","C","WAS",27,65,27,38,2119.5,1505
"32","Darius Garland","PG","CLE",23,69,40,29,2447.2,1490
"33","Franz Wagner","SF","ORL",21,80,33,47,2608.7,1485
"34","Devin Booker","SG","PHX",26,53,34,19,1835.4,1471
"35","Jimmy Butler","SF","MIA",33,64,35,29,2138,1466
"36","Anthony Davis","PF","LAL",30,56,31,25,1904.5,1451
"37","Nikola Vucevic","C","CHI",32,82,40,42,2746.4,1447
"38","Paolo Banchero","PF","ORL",20,72,31,41,2429.7,1437
"39","RJ Barrett","SG","NYK",22,73,40,33,2475.5,1431
"40","Keldon Johnson","SF","SAS",23,63,17,46,2063.3,1385
"41","Spencer Dinwiddie","PG","BKN",30,79,41,38,2725.3,1369
"42","Kevin Durant","PF","PHX",34,47,34,13,1671.8,1366
"43","Kyle Kuzma","SF","WAS",27,64,29,35,2238.9,1357
"44","Tyler Herro","PG","MIA",23,67,37,30,2335.4,1347
"45","Buddy Hield","SG","IND",30,80,35,45,2481.9,1344
"46","Fred VanVleet","SG","TOR",29,69,34,35,2535,1335
"47","Paul George","F","LAC",33,56,32,24,1938.9,1332
"48","Terry Rozier","SG","CHA",29,63,19,44,2220.9,1329
"49","Anfernee Simons","SG","POR",23,62,27,35,2170.7,1306
"50","Bennedict Mathurin","SG","IND",20,78,33,45,2222.4,1302
"51","Jamal Murray","PG","DEN",26,65,43,22,2133.4,1298
"52","Jerami Grant","SF","POR",29,63,28,35,2245.5,1290
"53","Jrue Holiday","PG","MIL",32,67,50,17,2182.5,1290
"54","Evan Mobley","PF","CLE",21,79,48,31,2715.3,1277
"55","Bojan Bogdanovic","SF","DET",34,59,15,44,1892.9,1273
"56","Jordan Clarkson","PG","UTA",30,61,30,31,1988.3,1271
"57","D'Angelo Russell","PG","LAL",27,71,39,32,2304.1,1263
"58","Josh Giddey","SG","OKC",20,76,34,42,2367.3,1260
"59","Desmond Bane","SG","MEM",24,58,38,20,1841.5,1247
"60","Brook Lopez","C","MIL",35,78,57,21,2372.5,1239
"61","Kawhi Leonard","SF","LAC",31,52,33,19,1747.5,1239
"62","Harrison Barnes","SF","SAC",30,82,48,34,2662,1230
"63","Tyrese Maxey","PG","PHI",22,60,39,21,2015.8,1218
"64","James Harden","SG","PHI",33,58,39,19,2135,1216
"65","Immanuel Quickley","SG","NYK",23,81,47,34,2344.1,1209
"66","Jaden Ivey","PG","DET",21,74,16,58,2304.3,1204
"67","Deandre Ayton","C","PHX",24,67,36,31,2035.3,1203
"68","Scottie Barnes","SF","TOR",21,77,38,39,2677.6,1179
"69","Jaren Jackson Jr.","PF","MEM",23,63,41,22,1787.5,1173
"70","Bradley Beal","SG","WAS",29,50,24,26,1672.9,1160
"71","Tyrese Haliburton","PG","IND",23,56,28,28,1882.9,1160
"72","Russell Westbrook","PG","LAC",34,73,36,37,2125.8,1159
"73","Gary Trent Jr.","SG","TOR",24,66,31,35,2118,1148
"74","Trey Murphy III","SG","NOP",22,79,39,40,2448,1148
"75","P.J. Washington","PF","CHA",24,73,24,49,2379.6,1144
"76","Kevin Huerter","SG","SAC",24,75,44,31,2202.8,1140
"77","Kevin Porter Jr.","SG","HOU",22,59,18,41,2023.9,1130
"78","O.G. Anunoby","SF","TOR",25,67,33,34,2385.7,1124
"79","Jonas Valanciunas","C","NOP",30,79,40,39,1968.2,1115
"80","Christian Wood","F","DAL",27,67,33,34,1738.4,1114
"81","Myles Turner","C","IND",27,62,29,33,1825.2,1113
"82","Brandon Ingram","SF","NOP",25,45,23,22,1538.1,1112
"83","Aaron Gordon","PF","DEN",27,68,45,23,2055.1,1109
"84","Alperen Sengun","C","HOU",20,75,18,57,2170.7,1109
"85","Tobias Harris","PF","PHI",30,74,47,27,2435.9,1085
"86","Michael Porter Jr.","SF","DEN",24,62,41,21,1797.9,1080
"87","Saddiq Bey","SF","ATL",24,77,24,53,2128.7,1062
"88","Jalen Williams","F","OKC",22,75,36,39,2275.6,1056
"89","Dillon Brooks","SF","MEM",27,73,46,27,2214.3,1047
"90","Malik Monk","SG","SAC",25,77,47,30,1719.2,1041
"91","Kenyon Martin Jr.","F","HOU",22,82,22,60,2292.2,1039
"92","De'Andre Hunter","SF","ATL",25,67,35,32,2125.6,1029
"93","Malik Beasley","SG","LAL",26,81,45,36,2093.1,1025
"94","Norman Powell","G","LAC",29,60,31,29,1567.1,1019
"95","Tim Hardaway Jr.","SF","DAL",31,71,37,34,2152.2,1019
"96","Derrick White","PG","BOS",28,82,57,25,2319.3,1017
"97","Luguentz Dort","G","OKC",24,74,36,38,2272.4,1013
"98","Jabari Smith Jr.","PF","HOU",19,79,21,58,2450.5,1010
"99","Malcolm Brogdon","PG","BOS",30,67,46,21,1743.8,1000
"100","Bobby Portis","F","MIL",28,70,47,23,1818.4,987
"101","Keegan Murray","SF","SAC",22,80,47,33,2381.7,976
"102","Kelly Oubre Jr.","SG","CHA",27,48,16,32,1547.5,972
"103","Jarrett Allen","C","CLE",25,68,44,24,2220.1,969
"104","Nic Claxton","C","BKN",24,76,41,35,2270.7,961
"105","Jaden McDaniels","PF","MIN",22,79,41,38,2416.5,953
"106","Rudy Gobert","C","MIN",30,70,34,36,2148.5,939
"107","John Collins","PF","ATL",25,71,37,34,2129.6,931
"108","Bruce Brown","SF","DEN",26,80,53,27,2279.5,923
"109","Max Strus","SG","MIA",27,80,42,38,2272,923
